;[u'Glen and Glenda', u'The Marriage Circle', u'Padma Nadir Majhi', u'The Virgin Soldiers', u'The Hours and Times', u'Face/Off', u'Ulysses', u'The Oklahoma Kid', u'Queenie, the Star of Calcutta', u'', u'A Touch of Class', u'Cosi', u"A Hard Day's Night", u'Royal Flash', u'Fabula de la Bella Palomera', u'Stop Train 349', u'RU:', u'The Apple Dumpling Gang Rides Again', u'The Loves of Don Juan', u'Le Grand Blond avec une Chaussure Noire', u'Desperate Remedies', u'Fly Away Home']
Rachel Ward;[u"TZ:Sharky's Machine", u"TZ:Dead Men Don't Wear Plaid", u'Wide Saragossa Sea', u'Against All Odds', u'And the Sea Will Tell']
Leelee Sobinsky;[u'Deep Impact']
Anne Meara;[u'TZ:Fame', u'The Boys from Brazil', u'Awakenings', u'Heavyweights']
Maria Schneider;[u'Last Tango in Paris', u'Jane Eyre', u'The Passenger']
Kirsty Swanson;[u'Deadly Friend']
Grazyna Szapolowska;[u'Ein kurzer Film Uber die Liebe']
Nigel Hawthorn;[u'Amistad']
Miriam Goldschmidt;[u'The Mahabharata']
Klaus Löwitsch;[u'Despair']
Lolita Davidoitch;[u'The Inner Circle']
Jennifer Tilley;[u'The Fabulous Baker Boys']
Adam Arkin;[u'The Doctor', u'Under the Rainbow']
Mischa Auer;[u'Around the World', u'Hold That Ghost', u'Just Imagine', u"You Can't Take It With You", u'Tarzan the Fearless', u'My Man Godfrey', u'Destry Rides Again', u'Destry', u'Helzapoppin', u'Spring Parade', u"We're Only Human", u'Lady in the Dark', u'A Royal Scandal', u'And Then There Were None', u'Bulldog Drummond Strikes Back', u'Seven Sinners']
Lori Saunders;[u'Blood Bath']
Brahim Haggiag;[u'The Battle of Algiers']
Bibi Osterwald;[u'The World of Henry Orient']
Sharise;[u'Sex Symphony']
Diane Varsi;[u'I Never Promised You a Rose Garden', u'TZ:Johnny Got His Gun', u'Ten North Frederick', u'Bloody Mama', u'Compulsion']
Leslee Udwin;[u'Forgotten Prisoners']
Eugène Deckers;[u'Lady L.']
Ralf Harolde;[u'Murder, My Sweet']
Charlie Ruggles;[u'The Invisible Woman', u'The Smiling Luitenant', u'Hearts Divided']
Lance Hendrickson;[u'Powder']
Jaques Francois;[u'The Barkleys of Broadway']
Helen Garden;[u'Monte Carlo']
Avery Schreiber;[u'Caveman', u'TZ:Silent Scream', u'Galaxina']
Virginia Gregg;[u'Love is a many Splendored Thing', u"Don't Come Back Alive", u'Two on a Guillotine']
Stephan W. Burns;[u'Herbie Goes Bananas']
John Duncan;[u'Batman and Robin']
Lara Wendel;[u'Intervista']
Adolph Ceasar;[u"A Soldier's Story", u'The Color Purple']
Lillian Bond;[u'Just A Gigolo']
Dana Winter;[u'On the Double']
Patty Duke;[u'Valley of the Dolls', u'Prelude to a Kiss']
Blair Underwood;[u'Just Cause', u'Deep Impact', u'Posse']
Erich VonStroheim;[u'I was an Adventuress']
Madelaine Stowe;[u'The Two Jakes']
Meg Foster;[u'Future Kick', u'The Emerald Forest', u'Project Shadowchaser', u'TZ:Carny', u'TZ:Ticket to Heaven', u'The Osterman Weekend']
Stephen Tompkinson;[u'Brassed Off']
André Gregory;[u'Protocol']
Esther Minciotti;[u'Marty', u'House of Strangers']
Breenda Sykes;[u'Cleopatra Jones']
Amelda Brown;[u'Little Dorrit']
Lutze Hagen;[u'Ticket of no Return']
Heinrich Schafmeister;[u'The Harmonists']
Anna Cromwell;[u'Deep Impact']
Naoh Beery;[u'The Squaw Man']
Martha Scott;[u'The Ten Commandments', u'The Turning Point', u'Sayonara', u'Desperate Hours', u'Ben Hur']
Fortunio Bomanova;[u'Citizen Kane']
Marino Cenna;[u"Everybody's Fine"]
Malcolm King;[u'Don Giovanni']
Neal McDonough;[u'Star Trek: First Contact']
Porter Strong;[u'Way Down East']
Tommy Kirk;[u'Shaggy Dog', u'Pajama Party', u'TZ:Swiss Family Robinson', u'TZ:Old Yeller', u'The Shaggy Dog', u'The Absent-Minded Professor']
Juan deMarco;[u'Spain']
Donald Murphy;[u"Frankenstein's Daughter"]
Susannah York;[u'TZ:The Silent Partner', u'TZ:Loophole', u'TZ:The Awakening', u'Happy Birthday, Wanda June', u'Gold', u'Images', u'Superman', u'Superman II', u'Tunes of Glory', u"They Shoot Horses, Don't They?", u'TZ:Falling in Love Again', u'Tom Jones']
Isabel Glasser;[u'Forever Young']
Kristina Holland;[u"Doctor's Wives"]
Peter Mamokos;[u'The Searchers']
Peter Mullan;[u'My Name is Joe']
Jaqueline Laurant;[u'Le Jour se L\xe8ve']
Lesley Ann Warrnen;[u'The Happiest Millionaire']
Dorothy Dell;[u'TZ:Little Miss Marker', u'Shoot the Works']
Maru MacDonald;[u'Guest in the House']
Fernando Lujan;[u'No One Writes to the Colonel']
Paule Picerni;[u'Force of Arms']
Alan Ruck;[u'Speed', u'Twister']
Helen Westcott;[u'The Charge at Feather River']
William Windom;[u'Attack of the 50-foot Woman', u'The Detective', u'The Gypsy Moths', u'Somersby', u'TZ:Mean Dog Blues', u'Brewster McCloud']
Charley Grapewin;[u'The Petrified Forest', u'The Big City', u'Anne of Green Gables', u'The Grapes of Wrath', u'Tobacco Road', u'Libeled Lady', u'The Wizard of Oz']
Kevin Conway;[u'Flashpoint']
Helen Jepson;[u'The Goldwyn Follies']
Gloria Franklin;[u'The Drums of Fu Manchu']
Carol Andre;[u'Death in Venice']
Pino Campaninin;[u"The Spider's Stratagem"]
Lotus Weinstock;[u'Wisecracks']
Cameron Milzer;[u'The Turn of the Screw']
Alice Ehlers;[u'Wuthering Heights']
Fritz Leiber;[u'The Phantom of the Opera', u'A Tale of Two Cities', u'The Way of All Flesh', u'The Hunchback of Notre Dame']
Paul Shaffer;[u'This is Spinal Tap']
Godfrey Tearle;[u'The 39 Steps', u"The Rake's Progress", u'Mandy']
Joseph Mobuto;[u'When We Were Kings']
Adolfas Mekas;[u'The Genius']
Lori Martin;[u'Cape Fear']
Cliff Edwards;[u'Hollywood Revue', u'Maisie', u"George White's 1935 Scandals", u'Dance, Fools, Dance', u'His Girl Friday', u'Good News', u"George White's Scandals", u'Pinocchio']
Spencer tracy;[u'Mannequin', u'Bad Day at Black Rock', u"Guess Who's Coming to Dinner"]
Ronee Blakelee;[u'The Private Files of J. Edgar Hoover']
Artie Lang;[u'The Bachelor']
Sabine Sesselman;[u'Die T\xfcr mit den Sieben Schl:ossern']
Lynne Federicks;[u'TZ:Phase IV']
Richard OBrien;[u'The Dark City']
Stephanie Beacham;[u'The Nightcomer']
Loes Wouterson;[u'The Northerners']
Marylin Monroe;[u'Ladies of the Chorus']
Hardy Krueger jr.;[u'Asterix & Obelisk']
Susan Cummings;[u'Swamp Women']
Beatrice Winden;[u'Simon Birch']
Katherine Houghton;[u"Guess Who's Coming to Dinner"]
Ti Robbins;[u'Tapeheads']
Jouce Carey;[u'The October Man']
Lili Palmer;[u'My Girl Tisa']
Peggy Wood;[u'The Sound of Music']
Andrew Faulds;[u'TZ:Jason and the Argonauts']
Virgina Bruce;[u'The Kid From Spain']
Jean Lodge;[u'The Black Knight']
Taylor Meade;[u'Superstar "The Life and Times of Andy Warhol"']
Shelly Mars;[u'Virgin Machine']
Ken King;[u'Polyester']
William Frawley;[u'Rose of Washington Square', u'Miracle on 34th Street', u"The Farmer's Daughter", u"I Wonder Who's Kissing Her Now?", u'Strike Me Pink', u'Mad About Music', u'Huckleberry Finn', u'Bolero']
Richard Jordan;[u'Hunt for Red October', u'TZ:Raise the Titanic!', u"Logan's Run", u'Posse', u'The Friends of Eddie Coyle', u'Gettysburg', u'The Yakuza', u'Interiors']
Virginia Vestoff;[u'TZ:1776']
Charles deRoche;[u'The Ten Commandments']
Manfred Mann;[u'Venus in Furs']
Chris Haywood;[u'Golden Braid', u'Touch Me', u'Razorback']
Dragan Bjelogrlic;[u'The Wounds']
Haryy VonZell;[u'Son of Paleface']
Albert Steinrück;[u'Asphalt']
Taral Hicks;[u'A Bronx Tale']
John Burton;[u'Foreign Correspondent', u"Lloyd's of London"]
George Voskovec;[u'Twelve Angry Men']
Jean Pierre Aumont;[u'TZ:Mahogany', u'Song of Scheherazade']
Douglass Dumbrille;[u'The Ten Commandments', u'The Big Store', u'Lost in a Harem', u'Abbott and Costello in the Foreign Legion', u'Mr.Deeds Goes to Town', u'Son of Paleface', u'Monsieur Beaucaire', u'Road to Utopia', u'Lives of a Bengal Lancer', u'Peter Ibbetson', u'The Way to Love', u'A Day at the Races', u'Treasure Island', u'Johnny Cool', u'Fog Over Frisco', u'Naughty Marietta']
Cyril OReilly;[u'Navy Seals']
Miles Chapin;[u'Bless the Beasts and Children']
Aya Takanashi;[u'Mr. Baseball']
Jennifers Smith;[u'Aria']
Ricard long;[u'Blood Bargain']
Bobs Watson;[u"Boys' Town"]
Dana Ong;[u'The Cheat']
Jerry Verno;[u'The Chinese Bungalow', u'Young and Innocent']
Noel Roquevert;[u'Fanfan la Tulipe', u"L'Assassin habite au 21"]
Cynthia Nixon;[u"Marvin's Room", u'Amadeus', u"Baby's Day Out"]
Derek Godfrey;[u'Hands of the Ripper']
Bill Wallace;[u'A Force of One', u'Deadlock']
June Preston;[u'Anne of Green Gables']
Lorraine Toussaint;[u'Nightjohn']
Jaimie Lee Curtis;[u'A Fish Named Wanda']
Creedence Clearwater Revival};[u'Woodstock']
Mamie VanDoren;[u'High School Confidential!']
Kathryn Grant;[u'The Wild Party', u'The Seventh Voyage of Sinbad', u'Anatomy of a Murder', u'The Phenix City Story', u'TZ:Initiation of Sarah']
Matt Damon;[u'All The Pretty Horses', u'Mystic Pizza', u'Courage Under Fire', u'The Rainmaker', u'Good Will Hunting', u'Rounders', u'Dazed and Confused', u'Saving Private Ryan', u'Geronimo: An American Legend', u'School Ties']
Karin Booth;[u'The Big City', u'Jungle Man-Eaters', u'Big City', u'Last Request']
Samm-Art Williams;[u'Blood Simple']
Bill McKinney;[u'The Outlaw Josey Wales', u'Deliverance', u'TZ:Heart Like a Wheel', u'Cannonball', u'Tex']
Byron Kane;[u'The Pink Panther Strikes Again']
Tom Waits;[u"Bram Stoker's Dracula", u'Ironweed', u'At Play in the Field of the Lord', u'Short Cuts', u'The Fisher King']
Daniel Baldwin;[u'Knight Moves', u'Attack of the 50-foot Woman', u'Car 54, Were Are You', u'Vampires', u'The Invader']
Bunin's Puppets;[u'Ziegfeld Follies']
Thuy Thu Le;[u'Casualties of War']
Gianni Rizzo;[u'Return of Sabata']
Dorothy Revier;[u'The Dance of Life']
Ada Brown;[u'Stormy Weather']
Adam Rourke;[u'The Four Deuces']
Eddie Murphy;[u'Dr.Dolittle', u'Trading Places', u'Coming to America', u'Beverly Hills Cop 3', u'The Distinguished Gentleman', u'Beverly Hills Cop', u'TZ:Tank', u'Boomerang', u'Holy Man', u'Life', u'Beverly Hills Cop II', u'48 Hrs.', u'Another 48 Hrs.', u'The Nutty Professor']
Bob Dylan;[u'Backtrack', u'The Last Waltz', u'TZ:Pat Garrett and Billy the Kid']
Patrick Dewaere;[u'S\xe9rie Noir', u'Going Places']
Tyne Daly;[u'Telefon', u'The Enforcer', u'A Bird in the Hand']
Faraizu Baik;[u'Gas Food Lodging']
Jack Gilford;[u'Caveman', u'Enter Laughing', u'TZ:Wholly Moses', u'Save the Tiger', u'A Funny Thing Happened on the Way to the Forum', u'Cocoon', u'TZ:Anna to the Infinite Power', u'Hostage Flight']
Gian Maria Volonte;[u'Investigation of a Citizen above Suspicion', u'Christ Stopped at Eboli', u"Ulysses' Gaze"]
Cuba Gooding jr;[u'As Good As It Gets', u'What Dreams May Come']
Elizabeth Daily;[u"Pee-Wee's Big Adventure"]
Tatsuya Fuji;[u'In the Realmm of the Senses', u'Empire of Passion']
Michael Redgrave;[u'The Importance of Being Earnest', u'Dead of Night', u'The Years Between', u'Kipps', u'The Third Man', u'Mourning Becomes Electra', u'Nicholas and Alexandra', u'The Lady Vanishes', u'Goodbye Mr. Chips', u'A Diary for Timothy', u'The Innocents', u'The Night My Number Came Up', u'TZ:The Dam Busters', u'The Wreck of the Mary Deare', u'Oh Rosalinda!!', u'Uncle Vanya', u'The Loneliness of the Long-distance Runner']
Anna Louise Hessing;[u'Pain of Love']
Cynthia Gibb;[u'Gypsy']
Rickie Sorensen;[u"Tarzan's Fight for Life", u'Tarzan and the Trappers']
Alessandro Gasman;[u'Steam: The Turkish Bath']
Gladys duBois;[u'The Battle of Paris']
Casey Friel;[u'Afterburn']
Gordon Clapp;[u'TZ:Return of the Secaucus 7']
Gordon Griffith;[u'Little Annie Roonie']
Daniel Delorme;[u'Rendevous at Bray']
Cathy Downs;[u'Missile to the Moon']
Alan Delon;[u'Feuer, Eis, und Dynamit']
Michael Rappaport;[u'Zebrahead', u'Higher Learning', u'Kicked in the Head', u'Beautiful Girls']
Dominique Buyses;[u'TZ:Harlem Nights']
Tom Hodges;[u'Heavyweights']
Lars Hanson;[u'Flesh and the Devil', u'Walpurgis Night', u'Erotikon', u'The Saga of Gosta Berlin', u'The Scarlet Letter', u'The Divine Woman', u'The Wind']
John Rubenstein;[u'The Boys from Brazil']
Katherine Squire;[u'Pen Pal']
Maury Chaykin;[u'Meatballs part III', u'Mouse Hunt', u'Hero']
Mark Halsun;[u'Carmen']
Colleen Camp;[u'Unbecoming Age', u'TZ:The Seduction', u'Apocalypse Now', u'Greedy', u'TZ:Valley Girl', u'They All Laughed', u'Cat in the Cage']
Alison Doody;[u'Indiana Jones and the Last Crusade']
Jean Rouverol;[u"It's a Gift"]
Alex Davion;[u'Song Without End']
Harry Shearer;[u'Oscar', u'This is Spinal Tap']
Derek Himmo;[u'The Liquidator']
Julian Arahanga;[u'Once Were Warriors']
Keith carradine;[u'Emperor of the North Pole']
Volker Schlondorff;[u'Private Conversations']
Hugo Speer;[u'The Full Monty']
Rober Aaron;[u'Alien Nation']
Giulia Costa;[u"L'Uomo Meccanico"]
Russell Hoyt;[u"The Gang's All Here"]
Sean Penn;[u'Fast Times at Ridgemont High', u'Casualties of War', u"Carlito's Way", u'The Game', u'Taps', u'TZ:Crackers', u"She's So Lovely", u"We're No Angels", u'U-Turn', u'State of Grace', u'TZ:Racing with the Moon', u'TZ:Bad Boys', u'The Thin Red Line', u'Dead Man Walking']
Lee Phelps;[u'Anna Christie']
Sandra Milo;[u'Otto e Mezzo', u'Giulietta degli Spiriti', u'General della Rovere']
Gary Clarke;[u'Missile to the Moon']
Ana Karina;[u'Chinese Roulette']
Jobyna Howland;[u'Big City Blues']
Kathleen Ryan;[u'Odd Man Out', u'Try and Get Me', u'Christopher Columbus']
Chaub Bailly;[u'The New Adventures of Pippi Longstocking']
Myrna Dell;[u"Ma Barker's Killer Brood"]
Claude Rains;[u'Here Comes Mr. Jordan', u'Angel On My Shoulder', u'The Phantom of the Opera', u'TZ:The Pied Piper of Hamelin', u'The Adventures of Robin Hood', u'Four Daughters', u'Daughters Courageous', u'Four Wives', u'The Sea Hawk', u'Casablanca', u'TZ:Passage to Marseilles', u'Crime Without Passion', u'Passionate Friends', u'Lawrence of Arabia', u'Hearts Divided', u'Mr. Smith goes to Washington', u'Caesar and Cleopatra', u'The Greatest Story Ever Told', u'The Wolf Man', u'Notorious', u'The Horseplayer', u'The Man Who Watched Trains Go By', u'Now Voyager', u'Deception', u'The Invisible Man', u'Anthony Adverse', u'And so Died Riabouchinska', u"King's Row", u'The White Tower', u'Mr. Skeffington', u'Juarez', u'Rope of Sand', u'The Prince and The Pauper']
George Dzundis;[u'unknown']
Anne Roussel;[u'The Music Teacher']
Michael Rennie;[u'TZ:Soldier of Fortune', u'The Robe', u'D\xe9sir\xe9e', u'The Silk Petticoat', u'Phone Call from a Stranger', u'Dangerous Crossing', u'Wicked Lady', u'Les Mis\xe9rables', u'Island in the Sun', u'The Long Silence', u'The Day the Earth Stood Still', u'The Last Generation']
Larry B. Scott;[u'Another Stakeout', u'Fear of a Black Hat']
Anita Page;[u'Hollywood Revue', u'Free and Easy', u'Broadway Melody', u'Our Modern Maidens', u'The Big Cage']
Shirley McLaine;[u"The Children's Hour"]
Kenji Mizoguchi;[u'Ugetsu']
Enzo Fiermonte;[u'Romeo and Juliet']
Ian Jenble;[u'War and Remembrance']
Toby Huss;[u'Down Periscope']
Earle Williams;[u'Life of Moses']
Suzanna Hamilton;[u'1984']
Frederick Kerr;[u'Waterloo Bridge', u'Frankenstein']
MarieChristine Barault;[u'Ma Nuit Chez Maude']
Frddie Jones;[u'And the Ships Sail On']
Pamela Franklin;[u'The Night of the Following Day', u'The Innocents', u'The Prime of Miss Jean Brodie', u'The Nanny']
Stephen d. Newman;[u"Sophie's Choice"]
Richard Pasco;[u'The Gorgon']
Kim Burfield;[u'Treasure Island']
Marilu Toto;[u'Bluebeard']
Corinne Clery;[u'TZ:Yor, the Hunter from the Future', u'Moonraker']
Shirly Horn;[u'Tune in Tomorrow']
Liza Weil;[u'Whatever']
Lawrence Grant;[u'The Mask of Fu Manchu', u'Bulldog Drummond', u'The Cat Creeps', u'The Son of Frankenstein', u'Shanghai Express']
Quinnn Redeker;[u'Coast-to-Coast']
eskimos;[u'White Dawn']
Jaques Bergerac;[u'Gigi']
Bebe Neuwirth;[u'Malice', u'Jumanji', u'Green Card', u'Celebrity']
Jane Powell;[u'Hit the Deck', u'Royal Wedding', u'Seven Brides for Seven Brothers', u'Deep in My Heart']
Harry Gribbon;[u'Fatty and Mabel at the San Diego Exposition']
Thomas beck;[u'Heidi']
Charles Hallahan;[u"Dante's Peak"]
Diana Monti;[u'Judex']
Jessica Tandy;[u'Batteries Not Included', u'Used People', u'Driving Miss Daisy', u'Camilla', u'The Birds', u'Honky Tonk Freeway', u'Fried Green Tomatoes', u'TZ:The Bostonians', u'Dragonwyk', u"We're No Angels", u'Best Friends', u'Still of the Night', u"Nobody's Fool", u'Cocoon', u'Cocoon, the Return']
Wilfrid Hyde White;[u'Libel', u'Ada', u"Let's Make Love", u'My Fair Lady', u'Betrayed', u'Last Holiday', u'The Liquidator', u'On the Double', u'Elephant Boy', u'John and Julie']
Philip Chan;[u'Eat a Bowl of Tea']
Adam Goldberg;[u'Babe: Pig in the City', u'Dazed and Confused']
Martin Vaughn;[u'We of the Never Never']
Jean Simmon;[u"She Couldn't Say No"]
Gale Storm;[u"Tom Brown's Schooldays"]
J.D. Cannon;[u'Completely Foolproof', u'Krakatoa, East of Java', u'Raise the Titanic!', u'Cool Hand Luke']
Jamie Farr;[u'Curse II, The Bite', u'The Cannonball Run', u'TZ:Cannonball Run II', u'The Blackboard Jungle']
Lon McCallister;[u'The Red House']
Mason Gamble;[u'Dennis the Menace']
Lisa Kreuzer;[u'The American Friend']
Roseanne Arquette;[u'The Linguini Incident']
Myrna Fahet;[u'House of Usher']
Rosalind Cash;[u'The Omega Man', u'TZ:Wrong is Right']
Miles Mander;[u'The Iron Mask', u'Suez', u'The Three Musketeers', u'Five Graves to Cairo', u'Murder, My Sweet', u'To Be or Not To Be', u'The Primrose Path', u'The Pleasure Garden', u'Murder!', u"Lloyd's of London", u'Stanley and Livingstone', u'Confidential Agent', u'Bitter Sweet', u'The House of Seven Gables', u'The Man in the Iron Mask', u'The Mad Miss Minton', u"Tarzan's New York Adventure", u'The Pearl of Death', u'Wake Up and Live', u'The Little Princess', u'Wuthering Heights']
Christopher George;[u'TZ:Mortuary', u'The Exterminator', u'Grizzly', u'Day of the Animals']
Zamba;[u'Jungle Jim in the Forbidden Land']
Lola Albright;[u'A Cold Wind in August', u'Lord Love a Duck']
Hulk Hogan;[u'Rocky III']
Anthony Daniels;[u'Star Wars', u'Episode 1, The Phantom Menace', u'The Empire Strikes Back', u'Return of The Jedi']
Louise Dresser;[u'The Eagle', u'Maid of Salem', u'State Fair', u'The Scarlet Empress']
Ann Magnusson;[u"`L'Amour poursuite'"]
Diana hyland;[u'To Catch a Butterfly']
Evelyn Ankers;[u'Hold That Ghost', u'Captive Wild Woman', u'Last of the Redmen', u'The Wolf Man', u'The Great Impersonation', u'Sherlock Holmes and the Voice of Terror', u"Tarzan's Magic Fountain", u'Jungle Woman', u'Son of Dracula', u'The Pearl of Death']
Wesly Snipes;[u'The Waterdance']
Marika Green;[u'Emmanuelle']
Lenmart Nyman;[u'The Adventures of Picasso']
Lowell Gilmore;[u'The Picture of Dorian Gray', u"King Solomon's Mines", u'Johnny Angel', u'Rogues of Sherwood Forest', u'Calcutta', u'Hong Kong']
Bernard lee;[u'Ring of Spies']
Marvin Chatinover;[u'Zelig']
Juliet Stevenson;[u'Truly, Madly, Deeply', u'The Trial', u'Drowning By Numbers']
Charles Millot;[u'Trans-Europe Express']
Megan Ward;[u"Amityville 1992: It's About Time", u'PCU']
Ramsay Ames;[u"The Mummy's Ghost"]
William Robinson;[u'The Three Godfathers']
Gail Kobe;[u'The Black Curtain']
Leo Camillo;[u'Blockade']
Dennis Waterman;[u'My Love, My Son']
Richard Brok;[u'Off Limits']
Pooja Batra;[u'Virasat']
Anthony Dowall;[u'Valentino']
Angie Dickinson;[u'Captive Audience', u'Dressed to Kill', u'Dial M for Murder', u'The Killers', u'Even Cowgirls get the Blues', u'Point Blank', u'Thanatos Palace Hotel', u"Ocean's Eleven", u'Pretty Maids All in a Row', u'Big Bad Mama']
Eric Rohmer;[u'Francois Truffaut: Stolen Portraits']
Ray Walston;[u'Fast Times at Ridgemont High', u'TZ:Galaxy of Terror', u'The Apartment', u'TZ:Kiss Me Stupid', u'Say One For Me', u'TZ:The Sting', u'The Stand', u'TZ:Private School', u'Damn Yankees']
Alvey Moore;[u'Susan Slept Here', u'Three Nuts in Search of a Bolt']
H.Richard Greene;[u'War and Remembrance']
Ron Randall;[u'Thou Still Unravished Bride']
Margot Fonteyn;[u'TZ:Exposed']
Charlie Chaplin;[u'The Tramp', u'Easy Street', u'The Immigrant', u'The Adventurer', u'Shoulder Arms', u'The Kid', u'The Goldrush', u'The Circus', u'City Lights', u'Modern Times', u'The Great Dictator', u'Monsieur Verdoux', u'Limelight', u'A King in New York', u'A Countess from HongKong', u'Dough and Dynamite']
Annie McEnroe;[u'Wall Street']
Peter Kraus;[u'The Waltz King']
Kathe Burke;[u'Nil By Mouth']
Hilde Wörner;[u'Die Flamme']
Cameron Hall;[u'The Stranger Left No Card']
Andy Williams;[u"I'd Rather be Rich"]
John Vernon;[u'Golden Rendezvous', u'The Outlaw Josey Wales', u'Dirty Harry', u'Charley Varrick', u'Topaz', u'Point Blank', u'Animal House', u'Herbie Goes Bananas']
Antonia SanJuan;[u'All About My Mother']
Fred Willard;[u'Waiting for Guffman', u'TZ:Chesty Anderson, U.S. Navy', u'This is Spinal Tap']
Bert Lahr;[u'The Wizard of Oz']
Anthony Allan;[u'Maisie']
Olivia dAbo;[u'Bolero', u'Live Nude Girls', u'Greedy', u'Clean Slate', u'Bank Robber', u"Wayne's World 2"]
Leslie Howard;[u'Pygmalion', u'The Petrified Forest', u'The Animal Kingdom', u'Berkeley Square', u'Romeo and Juliet', u'Intermezzo', u'The Scarlet Pimpernel', u'Of Human Bondage', u'Pimpernel Smith', u'The First of the Few', u'49th Parallel', u'Stand-In', u'Gone with the Wind']
Claud Allister;[u'Monte Carlo', u'Bulldog Drummond']
Josephine Hitchinson;[u'Step Down to Terror']
Chief Long Lance;[u'The Silent Enemy']
Bambi Wood;[u'Debbie does Dallas']
Ruth Nelson;[u'Till the End of Time', u'A Tree Grows in Brooklyn']
Andrew Tombes;[u'Born to Be Bad', u'Phantom Lady', u'Moulin Rouge']
Twinkle Khanna;[u'Uff Yeh Mohabbat']
Andre Borzei;[u'Man Bites Dog']
Peggy Cummins;[u'Escape', u'Curse of the Demon']
Carl Linley;[u'Howling VI, the Freaks']
Kathleen Freeman;[u'Nickle and Dime', u"The World's Oldest Motive", u'Blues Brothers', u'The Nutty Professor', u'The Fly', u'Dutch']
Tiffany Bolling;[u'The Wild Party']
Peggy Cumming;[u'Gun Crazy']
Tracy Camilla Johns;[u'New Jack City', u"She's Gotta Have It"]
Corbin Bernsen;[u'The Plastic Nightmare', u'Shattered']
Zoe Gail;[u'No Orchids for Miss Blandish']
Roberta Collins;[u'Caged Heat', u'TZ:Hardbodies']
Carl Franklin;[u'Eye of the Eagle III']
Don Ameche;[u'The Three Musketeers', u'Things Change', u'Heaven Can Wait', u'In Old Chicago', u"Alexander's Ragtime Band", u'Trading Places', u'Coming to America', u'The Story of Alexander Graham Bell', u'Lillian Russell', u'That Night in Rio', u'Happy Land', u'Midnight', u'Cocoon', u'Cocoon, the Return', u'Moon over Miami', u'Greenwich Village']
Jane Winton;[u'The Patsy']
Florian Martens;[u'In Sog der Angst']
Fritz Eckhardt;[u'The Waltz King']
David Kossoff;[u'The Mouse that Roared', u'Ring of Spies']
Ingmari Carlssen;[u'My Life As a Dog']
Warren Beatty;[u'TZ:The Parallax View', u'Madonna, Truth or Dare', u'Bonnie and Clyde', u'Bugsy', u'TZ:Heaven Can Wait', u'Splendor in the Grass', u'Ishtar', u'Love Affair', u'The Only Game in Town', u'Shampoo', u'The Roman Spring of Mrs Stone', u'The Fortune', u'McCabe and Mrs. Miller', u'Lilith', u'Reds', u'Dick Tracy', u'Bulworth', u'Promise Her Anything']
Peter Lind Hayes;[u'Playmates', u'The Senator was Indiscreet', u'Body in the Barn', u'The 5000 Fingers of Dr. T', u'Seven Days Leave']
Athol Fugard;[u'Gandhi', u'The Killing Fields']
Colin Clive;[u'Christopher Strong', u'Frankenstein', u'The Bride of Frankenstein', u'Mad Love']
Roscoe Fattie Arbuckle;[u"Going to the San Francisco World's Fair"]
Laura Gamser;[u'Emanuelle in Bangkok']
Sir Thomas Beecham;[u'The Tales of Hoffman']
Rossy dePalma;[u'Women on the Verge of A Nervous Breakdown', u'Kika']
Michael Laurence;[u'Picadilly Incident']
George Barbier;[u'Adventures of Marco Polo', u'One Hour With You', u'She Loves Me Not', u'Wife, Husband and Friend', u'The Milky Way', u'The Phantom President', u'Weekend in Havana']
Mary Louise Wilson;[u'Zelig']
Corey Crow;[u'The New Adventures of Pippi Longstocking']
John Hayes Newton;[u'Desert Kickboxer']
Jimmmy Cagney;[u"TZ:A Midsummer Night's Dream"]
Virginia North;[u"On Her Majesty's Secret Service", u'The Abominable Dr. Phibes']
Gaby Morlay;[u'Gigi']
Norah Young;[u'Safety Last']
Robert Viharo;[u'TZ:Hide in Plain Sight', u'Return to Macon County']
Michael Bryant;[u'Nicholas and Alexandra', u'Girly', u'Goodbye Mr. Chips', u'The Ruling Class', u'A Night to Remember']
Richard Alden;[u'The Sadist']
Kate Maberly;[u'The Secret Garden']
Jane Horrocks;[u'Life is Sweet']
Linda Darnell;[u'Everybody does it', u'Daytime Wife', u'Zero Hour!', u'Brigham Young, Frontiersman', u'Chad Hanna', u'Hangover Square', u'Anna and the King of Siam', u'My Darling Clementine', u'A Letter to Three Wives', u'No Way Out', u'Forever Amber', u'Unfaithfully Yours', u'Blackbeard the Pirate', u'It Happened Tomorrow', u'Second Chance', u'The Mark of Zorro', u'Blood and Sand', u'Buffalo Bill', u'Star Dust']
Sharon Farrell;[u'Final Performance', u'Marlowe', u'TZ:The Stunt Man']
Doris Dudley;[u'The Moon and Sixpence', u'A Woman Rebels']
Maria Izquierdo;[u'Imagen Latente']
Lon Chaney jr;[u'Passion', u'The Wolf Man', u'Of Mice and Men', u'Frankenstein Meets the Wolf Man', u'The Defiant Ones']
Al Hedison;[u'The Fly']
Jeremy Kemp;[u'TZ:East of Elephant Rock', u'War and Remembrance', u'The Seven-Per-Cent Solution', u'The Blue Max', u'Hero', u'Prisoner of Honor', u'The Prisoner of Zenda']
Rollo Lloyd;[u'Today We Live', u'Anthony Adverse']
Olga GeorgesPicot;[u'The Man who Haunted Himself', u'Day of the Jackal']
Tony Shalboub;[u'Gypsy']
Lindsay crouse;[u'The Verdict']
